currency_pair,mmr_percent,has_double_asterisk,source
AUDCAD,3,false,user_provided_2026-06-26
AUDCHF,3,false,user_provided_2026-06-26
AUDCNH,5,false,user_provided_2026-06-26
AUDJPY,5,false,user_provided_2026-06-26
AUDNOK,7,false,user_provided_2026-06-26
AUDNZD,3,false,user_provided_2026-06-26
AUDPLN,5,false,user_provided_2026-06-26
AUDSGD,5,false,user_provided_2026-06-26
AUDUSD,3,false,user_provided_2026-06-26
CADCHF,3,false,user_provided_2026-06-26
CADJPY,5,false,user_provided_2026-06-26
CADNOK,7,false,user_provided_2026-06-26
CADPLN,5,false,user_provided_2026-06-26
CHFHUF,5,false,user_provided_2026-06-26
CHFJPY,5,false,user_provided_2026-06-26
CHFNOK,7,false,user_provided_2026-06-26
CHFPLN,5,false,user_provided_2026-06-26
CNHJPY,5,false,user_provided_2026-06-26
EURAUD,3,false,user_provided_2026-06-26
EURCAD,2,false,user_provided_2026-06-26
EURCHF,3,false,user_provided_2026-06-26
EURCNH,5,false,user_provided_2026-06-26
EURCZK,10,false,user_provided_2026-06-26
EURDKK,2,true,user_provided_2026-06-26
EURGBP,5,false,user_provided_2026-06-26
EURHKD,20,true,user_provided_2026-06-26
EURHUF,5,false,user_provided_2026-06-26
EURJPY,5,false,user_provided_2026-06-26
EURMXN,10,false,user_provided_2026-06-26
EURNOK,7,false,user_provided_2026-06-26
EURNZD,3,false,user_provided_2026-06-26
EURPLN,5,false,user_provided_2026-06-26
EURSEK,3,false,user_provided_2026-06-26
EURSGD,5,false,user_provided_2026-06-26
EURTRY,25,true,user_provided_2026-06-26
EURUSD,2,false,user_provided_2026-06-26
EURZAR,7,false,user_provided_2026-06-26
GBPAUD,5,false,user_provided_2026-06-26
GBPCAD,5,false,user_provided_2026-06-26
GBPCHF,5,false,user_provided_2026-06-26
GBPDKK,5,true,user_provided_2026-06-26
GBPHKD,20,true,user_provided_2026-06-26
GBPJPY,5,false,user_provided_2026-06-26
GBPMXN,10,false,user_provided_2026-06-26
GBPNOK,7,false,user_provided_2026-06-26
GBPNZD,5,false,user_provided_2026-06-26
GBPPLN,5,false,user_provided_2026-06-26
GBPSEK,5,false,user_provided_2026-06-26
GBPSGD,5,false,user_provided_2026-06-26
GBPUSD,5,false,user_provided_2026-06-26
GBPZAR,7,false,user_provided_2026-06-26
HKDJPY,20,true,user_provided_2026-06-26
NOKDKK,7,true,user_provided_2026-06-26
NOKJPY,7,false,user_provided_2026-06-26
NOKSEK,7,false,user_provided_2026-06-26
NZDCAD,3,false,user_provided_2026-06-26
NZDCHF,3,false,user_provided_2026-06-26
NZDJPY,5,false,user_provided_2026-06-26
NZDUSD,3,false,user_provided_2026-06-26
SGDHKD,20,true,user_provided_2026-06-26
SGDJPY,5,false,user_provided_2026-06-26
TRYJPY,25,true,user_provided_2026-06-26
USDCAD,2,false,user_provided_2026-06-26
USDCHF,3,false,user_provided_2026-06-26
USDCNH,5,false,user_provided_2026-06-26
USDCZK,10,false,user_provided_2026-06-26
USDDKK,2,true,user_provided_2026-06-26
USDHKD,20,true,user_provided_2026-06-26
USDHUF,5,false,user_provided_2026-06-26
USDILS,20,false,user_provided_2026-06-26
USDJPY,5,false,user_provided_2026-06-26
USDMXN,10,false,user_provided_2026-06-26
USDNOK,7,false,user_provided_2026-06-26
USDPLN,5,false,user_provided_2026-06-26
USDSEK,3,false,user_provided_2026-06-26
USDSGD,5,false,user_provided_2026-06-26
USDTHB,20,false,user_provided_2026-06-26
USDTRY,25,true,user_provided_2026-06-26
USDZAR,7,false,user_provided_2026-06-26
ZARJPY,7,false,user_provided_2026-06-26
