time,pair,EventType,description,direction,baseline_net_profit,baseline_volume,new_lot,total_scale,scaled_net_profit,running_balance,scaled_volume,ModeledSwap,CumulativeModeledSwap,BalanceAfterEvent
2023.01.02 07:52:15,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,4999.55,0.06,0.0,0.0,4999.55
2023.01.02 09:55:00,USDCHF,deal_in,,in,-0.56,0.08,0.07,0.875,-0.49,4999.06,0.07,0.0,0.0,4999.06
2023.01.02 10:55:13,EURGBP,deal_out,,out,3.24,0.06,0.06,1.0,3.24,5002.3,0.06,0.0,0.0,5002.3
2023.01.02 12:45:00,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,5001.85,0.06,0.0,0.0,5001.85
2023.01.02 13:04:06,EURGBP,deal_out,,out,3.24,0.06,0.06,1.0,3.24,5005.09,0.06,0.0,0.0,5005.09
2023.01.02 14:35:01,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,5004.64,0.06,0.0,0.0,5004.64
2023.01.02 15:47:07,EURGBP,deal_out,,out,3.17,0.06,0.06,1.0,3.17,5007.81,0.06,0.0,0.0,5007.81
2023.01.02 15:50:01,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,5007.36,0.06,0.0,0.0,5007.36
2023.01.03 00:00:00,EURGBP,swap,Modeled daily swap accrual for 2023-01-02,buy,0.0,0.06,0.06,0.0,-0.21,5007.15,0.06,-0.21,-0.21,5007.15
2023.01.03 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-02,buy,0.0,0.08,0.07,0.0,-0.25,5006.9,0.07,-0.25,-0.46,5006.9
2023.01.03 01:14:36,USDCHF,deal_out,,out,1.69,0.08,0.07,0.875,1.4788,5008.3788,0.07,0.0,-0.46,5008.3788
2023.01.03 01:42:39,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5007.8188,0.08,0.0,-0.46,5007.8188
2023.01.03 01:44:17,USDCHF,deal_out,,out,3.59,0.08,0.08,1.0,3.59,5011.4088,0.08,0.0,-0.46,5011.4088
2023.01.03 07:00:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5010.8488,0.08,0.0,-0.46,5010.8488
2023.01.03 07:34:12,USDCHF,deal_out,,out,3.94,0.08,0.08,1.0,3.94,5014.7887,0.08,0.0,-0.46,5014.7887
2023.01.03 10:00:00,EURUSD,deal_in,,in,-1.12,0.15,0.15,1.0,-1.12,5013.6687,0.15,0.0,-0.46,5013.6687
2023.01.03 10:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5013.0787,0.07,0.0,-0.46,5013.0787
2023.01.03 10:03:24,GBPUSD,deal_out,,out,7.32,0.07,0.07,1.0,7.32,5020.3987,0.07,0.0,-0.46,5020.3987
2023.01.03 10:04:56,EURUSD,deal_out,,out,22.44,0.15,0.15,1.0,22.44,5042.8387,0.15,0.0,-0.46,5042.8387
2023.01.03 14:35:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5042.2787,0.08,0.0,-0.46,5042.2787
2023.01.03 14:45:00,EURGBP,deal_in,,in,-0.44,0.06,0.06,1.0,-0.44,5041.8387,0.06,0.0,-0.46,5041.8387
2023.01.03 15:09:58,USDCHF,deal_out,,out,3.79,0.08,0.08,1.0,3.79,5045.6287,0.08,0.0,-0.46,5045.6287
2023.01.03 17:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5045.0387,0.07,0.0,-0.46,5045.0387
2023.01.03 17:30:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5044.4787,0.08,0.0,-0.46,5044.4787
2023.01.03 17:33:02,USDCHF,deal_out,,out,3.8,0.08,0.08,1.0,3.8,5048.2787,0.08,0.0,-0.46,5048.2787
2023.01.03 20:45:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5047.7187,0.08,0.0,-0.46,5047.7187
2023.01.03 21:43:24,USDCHF,deal_out,,out,3.89,0.08,0.08,1.0,3.89,5051.6087,0.08,0.0,-0.46,5051.6087
2023.01.03 23:35:02,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5051.0487,0.08,0.0,-0.46,5051.0487
2023.01.04 00:00:00,EURGBP,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.06,0.06,0.0,-0.21,5050.8387,0.06,-0.21,-0.67,5050.8387
2023.01.04 00:00:00,EURGBP,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.06,0.06,0.0,-0.21,5050.6287,0.06,-0.21,-0.88,5050.6287
2023.01.04 00:00:00,GBPUSD,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.07,0.07,0.0,-0.25,5050.3787,0.07,-0.25,-1.13,5050.3787
2023.01.04 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.08,0.08,0.0,-0.28,5050.0987,0.08,-0.28,-1.41,5050.0987
2023.01.04 01:29:21,USDCHF,deal_out,,out,3.71,0.08,0.08,1.0,3.71,5053.8087,0.08,0.0,-1.41,5053.8087
2023.01.04 02:10:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5053.2487,0.08,0.0,-1.41,5053.2487
2023.01.04 02:51:33,USDCHF,deal_out,,out,3.72,0.08,0.08,1.0,3.72,5056.9687,0.08,0.0,-1.41,5056.9687
2023.01.04 04:50:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5056.4087,0.08,0.0,-1.41,5056.4087
2023.01.04 10:00:00,EURUSD,deal_in,,in,-1.11,0.15,0.15,1.0,-1.11,5055.2987,0.15,0.0,-1.41,5055.2987
2023.01.04 10:04:56,GBPUSD,deal_out,,out,6.48,0.07,0.07,1.0,6.48,5061.7787,0.07,0.0,-1.41,5061.7787
2023.01.04 10:06:26,EURUSD,deal_out,,out,20.94,0.15,0.15,1.0,20.94,5082.7187,0.15,0.0,-1.41,5082.7187
2023.01.04 14:05:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5082.1587,0.08,0.0,-1.41,5082.1587
2023.01.05 00:00:00,EURGBP,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.06,0.06,0.0,-0.21,5081.9487,0.06,-0.21,-1.62,5081.9487
2023.01.05 00:00:00,EURGBP,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.06,0.06,0.0,-0.21,5081.7387,0.06,-0.21,-1.83,5081.7387
2023.01.05 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.08,0.08,0.0,-0.28,5081.4587,0.08,-0.28,-2.11,5081.4587
2023.01.05 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.08,0.08,0.0,-0.28,5081.1787,0.08,-0.28,-2.39,5081.1787
2023.01.05 09:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5080.5887,0.07,0.0,-2.39,5080.5887
2023.01.05 09:48:34,GBPUSD,deal_out,,out,6.55,0.07,0.07,1.0,6.55,5087.1387,0.07,0.0,-2.39,5087.1387
2023.01.05 10:34:33,EURGBP,deal_out,,out,22.98,0.06,0.06,1.0,22.98,5110.1187,0.06,0.0,-2.39,5110.1187
2023.01.05 10:34:33,EURGBP,deal_out,,out,-16.67,0.06,0.06,1.0,-16.67,5093.4487,0.06,0.0,-2.39,5093.4487
2023.01.05 12:35:00,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,5092.9987,0.06,0.0,-2.39,5092.9987
2023.01.05 14:46:28,EURGBP,deal_out,,out,3.15,0.06,0.06,1.0,3.15,5096.1487,0.06,0.0,-2.39,5096.1487
2023.01.05 14:50:00,EURGBP,deal_in,,in,-0.45,0.06,0.06,1.0,-0.45,5095.6987,0.06,0.0,-2.39,5095.6987
2023.01.05 15:00:54,EURGBP,deal_out,,out,3.3,0.06,0.06,1.0,3.3,5098.9987,0.06,0.0,-2.39,5098.9987
2023.01.05 15:30:00,EURGBP,deal_in,,in,-0.44,0.06,0.06,1.0,-0.44,5098.5587,0.06,0.0,-2.39,5098.5587
2023.01.05 15:38:13,USDCHF,deal_out,,out,28.54,0.08,0.08,1.0,28.54,5127.0987,0.08,0.0,-2.39,5127.0987
2023.01.05 15:38:13,USDCHF,deal_out,,out,-20.13,0.08,0.08,1.0,-20.13,5106.9687,0.08,0.0,-2.39,5106.9687
2023.01.05 16:00:00,EURUSD,deal_in,,in,-1.11,0.15,0.15,1.0,-1.11,5105.8587,0.15,0.0,-2.39,5105.8587
2023.01.05 16:56:26,EURUSD,deal_out,,out,21.54,0.15,0.15,1.0,21.54,5127.3987,0.15,0.0,-2.39,5127.3987
2023.01.05 18:50:01,EURGBP,deal_out,,out,3.13,0.06,0.06,1.0,3.13,5130.5287,0.06,0.0,-2.39,5130.5287
2023.01.05 20:10:00,EURGBP,deal_in,,in,-0.44,0.06,0.06,1.0,-0.44,5130.0887,0.06,0.0,-2.39,5130.0887
2023.01.05 20:25:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5129.5287,0.08,0.0,-2.39,5129.5287
2023.01.05 20:27:03,EURGBP,deal_out,,out,3.14,0.06,0.06,1.0,3.14,5132.6687,0.06,0.0,-2.39,5132.6687
2023.01.05 20:50:00,EURGBP,deal_in,,in,-0.44,0.06,0.06,1.0,-0.44,5132.2287,0.06,0.0,-2.39,5132.2287
2023.01.05 21:11:22,EURGBP,deal_out,,out,3.28,0.06,0.06,1.0,3.28,5135.5087,0.06,0.0,-2.39,5135.5087
