event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1674489600_1,2023-01-23 16:00:00,2023-01-24 09:15:00,1035,273.05,2023-01-24 09:15:00,1786.07,3090.74,-402.41,300.0,300,GBPUSD,48.61,2,2,1
evt_1674560100_2,2023-01-24 11:35:00,2023-01-24 11:35:00,0,285.1,2023-01-24 11:35:00,1779.73,3294.36,-208.45,300.0,300,GBPUSD,48.51,2,2,1
evt_1674567600_3,2023-01-24 13:40:00,2023-01-25 04:30:00,890,277.75,2023-01-25 04:15:00,1782.19,3167.81,-334.43,300.0,300,GBPUSD,48.44,2,2,1
evt_1674622202_4,2023-01-25 04:50:02,2023-01-25 07:00:00,129,278.13,2023-01-25 06:00:00,1781.99,3174.16,-331.81,300.0,300,GBPUSD,48.43,2,2,1
evt_1674635100_5,2023-01-25 08:25:00,2023-01-25 13:15:00,290,276.57,2023-01-25 08:25:00,1782.72,3147.5,-361.15,300.0,300,GBPUSD,48.43,2,2,1
evt_1674661500_6,2023-01-25 15:45:00,2023-01-25 15:45:00,0,285.06,2023-01-25 15:45:00,1779.26,3292.73,-222.53,300.0,300,GBPUSD,48.45,2,2,1
evt_1674664800_7,2023-01-25 16:40:00,2023-01-25 16:45:00,5,277.79,2023-01-25 16:45:00,1783.02,3169.95,-344.77,300.0,300,GBPUSD,48.51,2,2,1
evt_1674669600_8,2023-01-25 18:00:00,2023-01-25 18:00:00,0,282.12,2023-01-25 18:00:00,1781.3,3244.1,-276.35,300.0,300,GBPUSD,48.51,2,2,1
evt_1674677400_9,2023-01-25 20:10:00,2023-01-25 20:15:00,5,271.31,2023-01-25 20:15:00,1786.39,3060.29,-458.63,300.0,300,GBPUSD,48.56,2,2,1
evt_1674685500_10,2023-01-25 22:25:00,2023-01-26 11:00:00,755,267.11,2023-01-26 02:00:00,1788.19,2988.03,-533.27,300.0,300,GBPUSD,48.6,2,2,1
