time,pair,EventType,description,direction,baseline_net_profit,baseline_volume,new_lot,total_scale,scaled_net_profit,running_balance,scaled_volume,ModeledSwap,CumulativeModeledSwap,BalanceAfterEvent
2023.01.02 09:55:00,USDCHF,deal_in,,in,-0.56,0.08,0.07,0.875,-0.49,4999.51,0.07,0.0,0.0,4999.51
2023.01.03 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-02,buy,0.0,0.08,0.07,0.0,0.66,5000.17,0.07,0.66,0.66,5000.17
2023.01.03 01:14:36,USDCHF,deal_out,,out,1.69,0.08,0.07,0.875,1.4788,5001.6488,0.07,0.0,0.66,5001.6488
2023.01.03 01:42:39,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5001.0887,0.08,0.0,0.66,5001.0887
2023.01.03 01:44:17,USDCHF,deal_out,,out,3.59,0.08,0.08,1.0,3.59,5004.6788,0.08,0.0,0.66,5004.6788
2023.01.03 07:00:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5004.1187,0.08,0.0,0.66,5004.1187
2023.01.03 07:34:12,USDCHF,deal_out,,out,3.94,0.08,0.08,1.0,3.94,5008.0587,0.08,0.0,0.66,5008.0587
2023.01.03 10:00:00,EURUSD,deal_in,,in,-1.12,0.15,0.15,1.0,-1.12,5006.9387,0.15,0.0,0.66,5006.9387
2023.01.03 10:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5006.3487,0.07,0.0,0.66,5006.3487
2023.01.03 10:03:24,GBPUSD,deal_out,,out,7.32,0.07,0.07,1.0,7.32,5013.6687,0.07,0.0,0.66,5013.6687
2023.01.03 10:04:56,EURUSD,deal_out,,out,22.44,0.15,0.15,1.0,22.44,5036.1087,0.15,0.0,0.66,5036.1087
2023.01.03 14:35:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5035.5487,0.08,0.0,0.66,5035.5487
2023.01.03 15:09:58,USDCHF,deal_out,,out,3.79,0.08,0.08,1.0,3.79,5039.3387,0.08,0.0,0.66,5039.3387
2023.01.03 17:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5038.7487,0.07,0.0,0.66,5038.7487
2023.01.03 17:30:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5038.1887,0.08,0.0,0.66,5038.1887
2023.01.03 17:33:02,USDCHF,deal_out,,out,3.8,0.08,0.08,1.0,3.8,5041.9887,0.08,0.0,0.66,5041.9887
2023.01.03 20:45:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5041.4287,0.08,0.0,0.66,5041.4287
2023.01.03 21:43:24,USDCHF,deal_out,,out,3.89,0.08,0.08,1.0,3.89,5045.3187,0.08,0.0,0.66,5045.3187
2023.01.03 23:35:02,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5044.7587,0.08,0.0,0.66,5044.7587
2023.01.04 00:00:00,GBPUSD,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.07,0.07,0.0,-0.36,5044.3987,0.07,-0.36,0.3,5044.3987
2023.01.04 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-03,buy,0.0,0.08,0.08,0.0,0.76,5045.1587,0.08,0.76,1.06,5045.1587
2023.01.04 01:29:21,USDCHF,deal_out,,out,3.71,0.08,0.08,1.0,3.71,5048.8687,0.08,0.0,1.06,5048.8687
2023.01.04 02:10:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5048.3087,0.08,0.0,1.06,5048.3087
2023.01.04 02:51:33,USDCHF,deal_out,,out,3.72,0.08,0.08,1.0,3.72,5052.0287,0.08,0.0,1.06,5052.0287
2023.01.04 04:50:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5051.4687,0.08,0.0,1.06,5051.4687
2023.01.04 10:00:00,EURUSD,deal_in,,in,-1.11,0.15,0.15,1.0,-1.11,5050.3587,0.15,0.0,1.06,5050.3587
2023.01.04 10:04:56,GBPUSD,deal_out,,out,6.48,0.07,0.07,1.0,6.48,5056.8387,0.07,0.0,1.06,5056.8387
2023.01.04 10:06:26,EURUSD,deal_out,,out,20.94,0.15,0.15,1.0,20.94,5077.7787,0.15,0.0,1.06,5077.7787
2023.01.04 14:05:00,USDCHF,deal_in,,in,-0.56,0.08,0.08,1.0,-0.56,5077.2187,0.08,0.0,1.06,5077.2187
2023.01.05 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.08,0.08,0.0,0.76,5077.9787,0.08,0.76,1.82,5077.9787
2023.01.05 00:00:00,USDCHF,swap,Modeled daily swap accrual for 2023-01-04,buy,0.0,0.08,0.08,0.0,0.76,5078.7387,0.08,0.76,2.58,5078.7387
2023.01.05 09:00:00,GBPUSD,deal_in,,in,-0.59,0.07,0.07,1.0,-0.59,5078.1487,0.07,0.0,2.58,5078.1487
2023.01.05 09:48:34,GBPUSD,deal_out,,out,6.55,0.07,0.07,1.0,6.55,5084.6987,0.07,0.0,2.58,5084.6987
2023.01.05 15:38:13,USDCHF,deal_out,,out,28.54,0.08,0.08,1.0,28.54,5113.2387,0.08,0.0,2.58,5113.2387
2023.01.05 15:38:13,USDCHF,deal_out,,out,-20.13,0.08,0.08,1.0,-20.13,5093.1087,0.08,0.0,2.58,5093.1087
2023.01.05 16:00:00,EURUSD,deal_in,,in,-1.11,0.15,0.15,1.0,-1.11,5091.9987,0.15,0.0,2.58,5091.9987
