month,ModeledSwap
2023-01,-40.620000000000005
2023-02,-70.85
2023-03,-68.11
2023-04,-38.09
2023-05,-107.03
2023-06,-113.10000000000001
2023-07,-116.71000000000001
2023-08,-76.85
2023-09,-191.63
2023-10,-264.74
2023-11,-149.0
2023-12,-88.60000000000001
2024-01,-87.46000000000001
2024-02,-124.81
2024-03,-196.08
2024-04,-122.53
2024-05,-238.29
2024-06,-205.14
2024-07,-275.8
2024-08,-180.9
2024-09,-290.45
2024-10,-277.0
2024-11,-178.99
2024-12,-190.07
2025-01,-229.8
2025-02,-277.54
2025-03,-201.2
2025-04,-154.36
2025-05,-330.0
2025-06,-189.49
2025-07,-403.7
2025-08,-270.83
2025-09,-201.58
2025-10,-262.04
2025-11,-443.84
2025-12,-766.61
2026-01,-506.31
2026-02,-476.39
2026-03,-825.79
2026-04,-578.9599999999999
2026-05,-364.78
2026-06,-75.72
