Pair,Direction,Original lot,Reconstructed lot,Configured rate,Expected swap,Actual swap,Matches
EURGBP,buy,0.07,0.09,-0.035,-0.32,-0.32,True
EURUSD,buy,0.21,0.3,-0.035,-1.05,-1.05,True
EURGBP,buy,0.07,0.18,-0.035,-0.63,-0.63,True
USDCHF,sell,0.1,0.15,-0.035,-0.53,-0.53,True
USDCHF,sell,0.08,0.08,-0.035,-0.28,-0.28,True
USDCHF,sell,0.1,0.15,-0.035,-0.53,-0.53,True
GBPUSD,sell,0.08,0.19,-0.035,-0.67,-0.67,True
GBPUSD,sell,0.1,0.43,-0.035,-1.51,-1.51,True
EURGBP,buy,0.07,0.13,-0.035,-0.46,-0.46,True
EURGBP,buy,0.07,0.19,-0.035,-0.67,-0.67,True
USDCHF,sell,0.1,0.2,-0.035,-0.7,-0.7,True
EURGBP,buy,0.07,0.19,-0.035,-0.67,-0.67,True
