Pair,Open Time,Close Time,Days Held,Reconstructed Lot,Total Swap,Average Daily Swap
EURUSD,2026.02.17 23:00:00,2026.04.08 08:51:38,50,1.54,-269.5,-5.39
EURUSD,2026.02.20 18:00:00,2026.04.08 08:51:37,47,1.54,-253.33,-5.39
EURUSD,2025.11.26 16:00:00,2026.01.09 17:10:17,44,1.34,-206.36,-4.69
EURUSD,2026.03.04 13:00:00,2026.04.08 08:51:37,35,1.55,-190.05,-5.43
EURUSD,2025.12.01 22:00:00,2026.01.09 17:10:16,39,1.35,-184.47,-4.73
EURUSD,2025.12.04 21:00:00,2026.01.09 17:10:16,36,1.36,-171.36,-4.76
EURGBP,2024.08.15 15:35:00,2025.04.04 14:00:12,232,0.19,-155.44,-0.67
EURGBP,2024.08.22 10:55:00,2025.04.04 14:00:12,225,0.19,-150.75,-0.67
EURGBP,2024.08.26 15:55:00,2025.04.04 14:00:11,221,0.19,-148.07,-0.67
EURGBP,2024.08.29 11:05:00,2025.04.04 14:00:11,218,0.19,-146.06,-0.67
USDCHF,2026.01.22 01:45:01,2026.03.13 10:00:48,50,0.73,-128.0,-2.56
EURUSD,2026.03.16 14:00:00,2026.04.08 08:51:37,23,1.56,-125.58,-5.46
USDCHF,2026.01.23 02:10:00,2026.03.13 10:00:48,49,0.73,-125.44,-2.56
USDCHF,2026.01.26 01:25:03,2026.03.13 10:00:47,46,0.73,-117.76,-2.56
EURUSD,2025.12.17 05:00:00,2026.01.09 17:10:16,23,1.37,-110.4,-4.8
USDCHF,2024.12.12 13:35:00,2025.03.04 11:33:56,82,0.29,-82.82,-1.01
USDCHF,2024.12.13 03:00:00,2025.03.04 11:33:55,81,0.29,-81.81,-1.01
USDCHF,2024.12.17 12:35:00,2025.03.04 11:33:55,77,0.29,-77.77,-1.01
USDCHF,2025.12.09 23:55:00,2026.01.09 15:30:01,31,0.68,-73.78,-2.38
GBPUSD,2025.10.22 19:00:00,2025.11.26 15:29:57,35,0.58,-71.05,-2.03
USDCHF,2025.12.11 20:40:04,2026.01.09 15:30:01,29,0.68,-69.02,-2.38
USDCHF,2025.12.11 03:00:00,2026.01.09 15:30:01,29,0.68,-69.02,-2.38
EURUSD,2023.09.04 12:00:00,2023.11.03 15:46:48,60,0.3,-63.0,-1.05
EURGBP,2025.12.19 18:00:00,2026.01.20 14:26:32,32,0.55,-61.76,-1.93
EURGBP,2026.03.26 20:55:00,2026.04.22 20:06:22,27,0.65,-61.56,-2.28
EURUSD,2023.09.06 08:00:00,2023.11.03 15:46:48,58,0.3,-60.9,-1.05
EURUSD,2025.04.28 20:00:00,2025.05.21 05:03:10,23,0.75,-60.49,-2.63
EURUSD,2024.05.02 17:00:00,2024.06.10 06:58:04,39,0.44,-60.06,-1.54
USDCHF,2024.08.15 23:25:00,2024.10.23 09:38:27,69,0.24,-57.96,-0.84
EURGBP,2023.05.03 18:25:00,2023.10.31 11:59:32,181,0.09,-57.92,-0.32
EURGBP,2023.05.05 18:50:02,2023.10.31 11:59:32,179,0.09,-57.28,-0.32
EURGBP,2023.05.05 06:10:00,2023.10.31 11:59:32,179,0.09,-57.28,-0.32
EURUSD,2024.06.28 05:00:00,2024.08.01 11:14:39,34,0.46,-54.74,-1.61
USDCHF,2024.08.19 01:05:00,2024.10.23 09:38:27,65,0.24,-54.6,-0.84
USDCHF,2024.08.20 04:35:00,2024.10.23 09:38:27,64,0.24,-53.76,-0.84
EURGBP,2025.04.22 02:50:00,2025.06.12 15:30:28,51,0.3,-53.55,-1.05
EURUSD,2025.05.01 14:00:00,2025.05.21 05:03:10,20,0.76,-53.2,-2.66
EURUSD,2026.04.13 01:00:00,2026.04.22 18:02:51,9,1.67,-52.65,-5.85
EURGBP,2025.04.23 06:40:00,2025.06.12 15:30:28,50,0.3,-52.5,-1.05
EURUSD,2024.05.07 09:00:00,2024.06.10 06:58:04,34,0.44,-52.36,-1.54
USDCHF,2025.07.28 17:30:00,2025.08.28 13:43:06,31,0.48,-52.08,-1.68
USDCHF,2025.07.28 06:40:10,2025.08.28 13:43:07,31,0.48,-52.08,-1.68
USDCHF,2024.03.21 20:15:00,2024.06.03 17:45:52,74,0.2,-51.8,-0.7
USDCHF,2024.03.21 13:50:00,2024.06.03 17:45:52,74,0.2,-51.8,-0.7
EURUSD,2023.09.15 11:00:00,2023.11.03 15:46:48,49,0.3,-51.45,-1.05
EURGBP,2023.05.24 07:40:00,2023.10.31 11:59:32,160,0.09,-51.2,-0.32
EURUSD,2024.02.13 16:00:00,2024.03.22 11:32:15,38,0.38,-50.54,-1.33
EURGBP,2025.04.25 16:35:00,2025.06.12 15:30:28,48,0.3,-50.4,-1.05
USDCHF,2025.07.29 11:45:00,2025.08.28 13:43:06,30,0.48,-50.4,-1.68
EURGBP,2026.03.31 02:40:00,2026.04.22 20:06:22,22,0.65,-50.16,-2.28
EURGBP,2024.05.16 17:25:00,2024.08.02 14:40:29,78,0.18,-49.14,-0.63
EURUSD,2025.06.25 16:00:00,2025.07.10 17:29:30,15,0.93,-48.9,-3.26
USDCHF,2024.03.26 16:55:00,2024.06.03 17:45:51,69,0.2,-48.3,-0.7
EURGBP,2024.05.22 09:05:01,2024.08.02 14:40:29,72,0.18,-45.36,-0.63
EURGBP,2025.06.27 15:55:00,2025.07.31 06:26:46,34,0.37,-44.2,-1.3
GBPUSD,2025.11.05 19:00:00,2025.11.26 15:29:57,21,0.6,-44.1,-2.1
EURUSD,2024.08.15 16:00:00,2024.09.10 16:50:44,26,0.48,-43.68,-1.68
EURGBP,2025.12.29 04:56:47,2026.01.20 14:26:32,22,0.55,-42.46,-1.93
USDCHF,2023.09.01 15:35:00,2023.11.20 04:26:19,80,0.15,-42.4,-0.53
USDCHF,2023.09.01 20:20:03,2023.11.20 04:26:19,80,0.15,-42.4,-0.53
EURUSD,2025.10.06 18:00:00,2025.10.16 03:45:55,10,1.18,-41.3,-4.13
EURUSD,2024.10.08 08:00:00,2024.11.01 15:38:34,24,0.49,-41.28,-1.72
EURUSD,2024.02.21 11:00:00,2024.03.22 11:32:14,30,0.39,-41.1,-1.37
GBPUSD,2026.04.08 22:00:00,2026.04.23 20:39:57,15,0.78,-40.95,-2.73
EURUSD,2025.11.10 02:00:00,2025.11.19 16:15:37,9,1.29,-40.68,-4.52
EURGBP,2025.05.06 15:05:00,2025.06.12 15:30:28,37,0.31,-40.33,-1.09
USDCHF,2023.09.05 23:55:00,2023.11.20 04:26:19,76,0.15,-40.28,-0.53
EURUSD,2023.09.26 16:00:00,2023.11.03 15:46:48,38,0.3,-39.9,-1.05
GBPUSD,2023.09.04 12:00:00,2023.11.24 16:10:13,81,0.14,-39.69,-0.49
EURGBP,2025.07.01 16:40:00,2025.07.31 06:26:46,30,0.37,-39.0,-1.3
GBPUSD,2023.09.06 09:00:30,2023.11.24 16:10:13,79,0.14,-38.71,-0.49
EURUSD,2024.05.16 13:00:00,2024.06.10 06:58:04,25,0.44,-38.5,-1.54
GBPUSD,2023.09.08 09:00:00,2023.11.24 16:10:13,77,0.14,-37.73,-0.49
EURGBP,2025.07.02 15:40:00,2025.07.31 06:26:46,29,0.37,-37.7,-1.3
EURUSD,2026.05.07 23:00:00,2026.05.13 09:52:28,6,1.77,-37.2,-6.2
EURUSD,2024.07.09 15:00:00,2024.08.01 11:14:39,23,0.46,-37.03,-1.61
EURGBP,2026.03.03 14:10:02,2026.03.20 18:50:48,17,0.62,-36.89,-2.17
EURGBP,2024.01.03 13:00:00,2024.03.22 10:33:42,79,0.13,-36.34,-0.46
EURUSD,2025.02.12 16:00:00,2025.02.28 04:14:51,16,0.64,-35.84,-2.24
GBPUSD,2024.05.10 18:00:00,2024.06.27 03:41:06,48,0.21,-35.52,-0.74
EURGBP,2024.01.05 19:00:00,2024.03.22 10:33:41,77,0.13,-35.42,-0.46
USDCHF,2025.06.24 22:15:00,2025.07.16 16:48:55,22,0.46,-35.42,-1.61
USDCHF,2025.06.24 13:20:00,2025.07.16 16:48:55,22,0.46,-35.42,-1.61
