Date,DailySwap,CumulativeSwap,OpenPositions,BalanceBefore,BalanceAfter
2023-01-03,-0.46,-0.46,2,5007.36,5006.9
2023-01-04,-0.95,-1.41,4,5051.0487,5050.0987
2023-01-05,-0.98,-2.39,4,5082.1587,5081.1787
2023-01-06,-0.28,-2.67,1,5135.5087,5135.2287
2023-01-07,-0.49,-3.16,2,5181.3887,5180.8987
2023-01-08,-0.49,-3.65,2,5180.8987,5180.4087
2023-01-09,-0.49,-4.14,2,5180.4087,5179.9187
2023-01-10,-0.98,-5.12,4,5189.3387,5188.3587
2023-01-11,-0.21,-5.33,1,5220.7688,5220.5588
2023-01-12,-0.77,-6.1,3,5232.0087,5231.2388
2023-01-13,-0.98,-7.08,4,5236.6588,5235.6788
2023-01-14,-1.12,-8.2,3,5247.1334,5246.0134
2023-01-15,-1.12,-9.32,3,5246.0134,5244.8934
2023-01-16,-1.12,-10.44,3,5244.8934,5243.7734
2023-01-17,-1.3,-11.74,4,5275.5434,5274.2434
2023-01-18,-1.23,-12.97,5,5308.3181,5307.0881
2023-01-19,-2.28,-15.25,8,5326.5907,5324.3107
2023-01-20,-2.28,-17.53,8,5324.3107,5322.0307
2023-01-21,-1.97,-19.5,7,5331.5907,5329.6207
2023-01-22,-1.97,-21.47,7,5329.6207,5327.6507
2023-01-23,-1.97,-23.44,7,5327.6507,5325.6807
2023-01-24,-2.11,-25.55,6,5345.7847,5343.6747
2023-01-25,-2.32,-27.87,7,5349.8347,5347.5147
2023-01-26,-2.32,-30.19,7,5371.8047,5369.4847
2023-01-27,-2.11,-32.3,6,5401.5147,5399.4047
2023-01-28,-2.15,-34.45,6,5421.5064,5419.3564
2023-01-29,-2.15,-36.6,6,5419.3564,5417.2064
2023-01-30,-2.15,-38.75,6,5417.2064,5415.0564
2023-01-31,-1.87,-40.62,5,5433.0964,5431.2264
2023-02-01,-1.84,-42.46,6,5486.4317,5484.5917
2023-02-02,-1.0,-43.46,4,5528.6057,5527.6057
2023-02-03,-1.28,-44.74,5,5567.8987,5566.6187
2023-02-04,-2.44,-47.18,8,5577.9624,5575.5224
2023-02-05,-2.44,-49.62,8,5575.5224,5573.0824
2023-02-06,-2.44,-52.06,8,5573.0824,5570.6424
2023-02-07,-2.44,-54.5,8,5570.6424,5568.2024
2023-02-08,-3.32,-57.82,10,5566.2425,5562.9225
2023-02-09,-3.04,-60.86,9,5570.3282,5567.2882
2023-02-10,-2.57,-63.43,7,5587.7073,5585.1373
2023-02-11,-2.57,-66.0,7,5598.4154,5595.8454
2023-02-12,-2.57,-68.57,7,5595.8454,5593.2754
2023-02-13,-2.57,-71.14,7,5593.2754,5590.7054
2023-02-14,-2.89,-74.03,7,5617.4275,5614.5375
2023-02-15,-2.58,-76.61,6,5632.5125,5629.9325
2023-02-16,-2.58,-79.19,6,5655.7308,5653.1508
2023-02-17,-2.3,-81.49,5,5675.0208,5672.7208
2023-02-18,-2.3,-83.79,5,5687.0135,5684.7135
2023-02-19,-2.3,-86.09,5,5684.7135,5682.4135
2023-02-20,-2.3,-88.39,5,5682.4135,5680.1135
2023-02-21,-2.62,-91.01,6,5698.6985,5696.0785
2023-02-22,-2.37,-93.38,5,5733.2447,5730.8747
2023-02-23,-2.69,-96.07,6,5750.3678,5747.6778
2023-02-24,-2.76,-98.83,6,5774.9895,5772.2295
2023-02-25,-3.01,-101.84,7,5791.3278,5788.3178
2023-02-26,-3.01,-104.85,7,5788.3178,5785.3078
2023-02-27,-3.01,-107.86,7,5785.3078,5782.2978
2023-02-28,-3.61,-111.47,8,5801.3432,5797.7332
2023-03-01,-3.64,-115.11,8,5807.9439,5804.3039
2023-03-02,-3.86,-118.97,9,5817.2046,5813.3446
2023-03-03,-3.86,-122.83,9,5813.3446,5809.4846
2023-03-04,-3.86,-126.69,9,5816.696,5812.836
2023-03-05,-3.86,-130.55,9,5812.836,5808.976
2023-03-06,-3.86,-134.41,9,5808.976,5805.116
2023-03-07,-4.14,-138.55,10,5804.4418,5800.3018
2023-03-08,-4.11,-142.66,10,5806.9425,5802.8325
2023-03-09,-4.39,-147.05,11,5802.1696,5797.7796
2023-03-10,-4.11,-151.16,10,5805.1168,5801.0068
2023-03-11,-2.65,-153.81,5,5838.5988,5835.9488
2023-03-12,-2.65,-156.46,5,5835.9488,5833.2988
2023-03-13,-2.65,-159.11,5,5833.2988,5830.6488
2023-03-14,-3.29,-162.4,7,5866.8651,5863.5751
